Title,Authors,Year,Journal,DOI,Source
Measurement of radioactivity in the environment. Soil,,,,10.3403/30242243u,CrossRef
Gamma Globulin Measurement,,2020,Definitions,10.32388/tx4gjp,CrossRef
Systematic errors,,2006,An Introduction to Uncertainty in Measurement,10.1017/cbo9780511755538.008,CrossRef
Uncertainty in CMM Measurement of Roundness,"Bartosz Gapinski, Miroslaw Rucki",2007,2007 IEEE International Workshop on Advanced Methods for Uncertainty Estimation in Measurement,10.1109/amuem.2007.4362564,CrossRef
Uncertainty and Weighing,,2016,Measurement Uncertainty in Forensic Science,10.1201/9781315400907-15,CrossRef
Extended Measurement Uncertainty according to ISO 22514-7 or VDA 5,"Edgar Dietrich, Alfred Schulze",2011,Measurement Process Qualification,10.1007/978-3-446-42955-0_8,CrossRef
Gamma Tocopherol Measurement,,2020,Definitions,10.32388/jdinrb,CrossRef
Guidance for gamma spectrometry measurement of radioactive waste,,,,10.3403/30295797,CrossRef
Interferon Gamma Measurement,,2020,Definitions,10.32388/uffkfc,CrossRef
N2-broadening coefficients in the ν2 and ν4 bands of PH3,"Jean-Pierre Bouanich, Jacques Walrand, Ghislain Blanquet",2005,Journal of Molecular Spectroscopy,10.1016/j.jms.2005.02.005,CrossRef
Gamma-Hydroxybutyrate Measurement,,2020,Definitions,10.32388/yf5ryz,CrossRef
Guidance for gamma spectrometry measurement of radioactive waste,,,,10.3403/30295797u,CrossRef
Evaluation of measurement data — Guide to the expression of uncertainty in measurement,,,,10.59161/jcgm100-2008e,CrossRef
Measurement and Measurement Uncertainty,,,Systems Analysis for Water Technology,10.1007/978-3-540-77278-1_11,CrossRef
Measurement Uncertainty,D. Brynn Hibbert,2007,Quality Assurance in the Analytical Chemistry Laboratory,10.1093/oso/9780195162127.003.0010,CrossRef
General metrology,,,,10.3403/03099184,CrossRef
Bayesian inference,,,Evaluating the Measurement Uncertainty,10.1887/0750308400/b1099c6,CrossRef
Measurement Uncertainty in Conformity Assessment,"Pedro Paulo Novellino do Rosario, Alexandre Mendes",2025,Metrology and Measurement Uncertainty,10.1007/978-3-031-82303-9_8,CrossRef
Probability table,,,Evaluating the Measurement Uncertainty,10.1887/0750308400/b1099b1,CrossRef
Measurement Uncertainty,,2023,,10.3390/books978-3-0365-6609-2,CrossRef
General metrology,,,,10.3403/03099184u,CrossRef
Doppler Broadening of a Gamma-Ray Line,"V. K. Rasmussen, C. C. Lauritsen, T. Lauritsen",1949,Physical Review,10.1103/physrev.75.199,CrossRef
Diode-Laser Measurements of N2-Broadening Coefficients in the ν3 Band of CH3D,"G. Blanquet, J. Walrand, J.P. Bouanich",1995,Journal of Molecular Spectroscopy,10.1006/jmsp.1995.1139,CrossRef
Measurement analysis in uncertainty space,R. Craig Herndon,2017,Measurement,10.1016/j.measurement.2017.04.012,CrossRef
On the measurement of inequality under uncertainty,,2004,Uncertainty in Economic Theory,10.4324/9780203358061-28,CrossRef
Air quality. Guidelines for estimating measurement uncertainty,,,,10.3403/30126449,CrossRef
Measurement of radioactivity in the environment. Soil,,,,10.3403/30286384u,CrossRef
A practical evaluation of measurement uncertainty in gamma-ray efficiency curve determination through an analytical approach,"Katsuhiro Shirono, Yasuhiro Unno, Rio Furukawa, Chushiro Yonezawa",2017,Applied Radiation and Isotopes,10.1016/j.apradiso.2016.12.005,CrossRef
Evaluation of measurement data – The role of measurement uncertainty in conformity assessment,,2012,,10.59161/jcgm106-2012,CrossRef
On the meaning of measurement uncertainty,Fabien Grégis,2019,Measurement,10.1016/j.measurement.2018.09.073,CrossRef
Sources of Uncertainty,,2016,Measurement Uncertainty in Forensic Science,10.1201/9781315400907-11,CrossRef
Diode-Laser Measurements of N2-Broadening Coefficients in the ν3 Band of CH335Cl,"G. Blanquet, J. Walrand, J.P. Bouanich",1993,Journal of Molecular Spectroscopy,10.1006/jmsp.1993.1172,CrossRef
Measurement Uncertainty,,2017,Measurement Technology for Process Automation,10.1201/9781315267913-12,CrossRef
Measurement of Lifetimes of the Vibrational Levels of the B State of N2.,F. M. Pipkin,1984,,10.21236/ada142161,CrossRef
Air quality. Guidelines for estimating measurement uncertainty,,,,10.3403/30126449u,CrossRef
"00/01614 Accurate measurement of O2, N2, and Ar gases in water and the solubility of N2",,2000,Fuel and Energy Abstracts,10.1016/s0140-6701(00)93344-7,CrossRef
Measurement of radioactivity in the environment. Soil,,,,10.3403/30286384,CrossRef
High-resolution diode laser spectroscopy of CO in solid N2: Effect of dipolar broadening on vibrational transitions,"H. Dubost, R. Charneau, M. Harig",1982,Chemical Physics,10.1016/0301-0104(82)88078-6,CrossRef
N2-broadening coefficients in the ν2 and ν4 bands of PH3 at low temperature,"Jean-Pierre Bouanich, Ghislain Blanquet",2007,Journal of Molecular Spectroscopy,10.1016/j.jms.2006.12.006,CrossRef
SPM Spectral Broadening Compensation Using Organic Dyes with Negative n2,"Shiva Shahin, Khanh Kieu, Seth R. Marder, Robert A. Norwood, Nasser Peyghambarian",2013,Optical Fiber Communication Conference/National Fiber Optic Engineers Conference 2013,10.1364/nfoec.2013.jw2a.13,CrossRef
N2- and O2-broadening parameters in the ν3 band of 14N2 16O,"A. Henry, M. Margottin-Maclou, N. Lacome",1985,Journal of Molecular Spectroscopy,10.1016/0022-2852(85)90006-2,CrossRef
Some statistical concepts,,2006,An Introduction to Uncertainty in Measurement,10.1017/cbo9780511755538.007,CrossRef
Aspects and understanding of measurement uncertainty � Background information on measurement uncertainty based on the example of IEC TC 85 (Measuring equipment for electrical and electromagnetic quantities),,,,10.3403/30480338,CrossRef
Method for quantifying the uncertainty associated at the gamma ray spectrum raw data extraction by deconvolution software,"Nicolas Guillot, Thomas Vigineix, Nicolas Saurel",2013,"2013 3rd International Conference on Advancements in Nuclear Instrumentation, Measurement Methods and their Applications (ANIMMA)",10.1109/animma.2013.6727895,CrossRef
"Uncertainty of gamma-ray spectrometry measurement of environmental samples due to uncertainties in matrix composition, density and sample geometry","S. Kaminski, A. Jakobi, Chr. Wilhelm",2014,Applied Radiation and Isotopes,10.1016/j.apradiso.2014.08.008,CrossRef
Calculation of uncertainties,,2006,An Introduction to Uncertainty in Measurement,10.1017/cbo9780511755538.009,CrossRef
Valorization of Oil Waste for Biodetergent Production Using Serratia Marcescens N2 and Gamma Irradiation Assisted Biorecovery,"Nora M. Elkenawy, Ola M. Gomaa",,,10.21203/rs.3.rs-1143012/v1,CrossRef
Ultra-high resolution gamma-ray spectroscopy and its application to the determination of gamma-ray induced doppler broadening,"H. G. Börner, J. Jol1e",1991,Nuclear Physics News,10.1080/10506899108260763,CrossRef
Aspects and understanding of measurement uncertainty � Background information on measurement uncertainty based on the example of IEC TC 85 (Measuring equipment for electrical and electromagnetic quantities),,,,10.3403/30480338u,CrossRef
Extended Measurement Uncertainty according to ISO 22514-7 or VDA 5,"Edgar Dietrich, Alfred Schulze",2011,Measurement Process Qualification,10.3139/9783446429550.008,CrossRef
Submillimeter measurements of N2 and air broadening of hypochlorous acid,Brian J. Drouin,2007,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2006.07.007,CrossRef
Customers’ needs in relation to uncertainty and uncertainty budgets,Manfred Golze,1998,Measurement Uncertainty in Chemical Analysis,10.1007/978-3-662-05173-3_26,CrossRef
"Pressure broadening of the CO J = 1-0 rotational transition by N2, O2, and air","Brian J. Connor, H.E. Radford",1986,Journal of Molecular Spectroscopy,10.1016/0022-2852(86)90217-1,CrossRef
Methods of measurement of fluid flow: estimation of uncertainty of a flow-rate measurement,,,,10.3403/00128393u,CrossRef
Measurement validation via expected uncertainty,Andrew J. Fry,2001,Measurement,10.1016/s0263-2241(00)00065-8,CrossRef
Measurement Uncertainty Applied to Cost Effective Testing,,,,10.4271/air5925,CrossRef
Application-oriented meta-model of measurement uncertainty,Roman Z. Morawski,2024,Measurement,10.1016/j.measurement.2023.114044,CrossRef
"Foreign gas broadening of difluoromethane by N2, O2 and CO2","G.K. Johri, R.P. Rishishwar",1985,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/0022-4073(85)90092-5,CrossRef
"Self-, N2, O2, H2, Ar, and He broadening in the ν3 band <i>Q</i> branch of CH4",A. S. Pine,1992,The Journal of Chemical Physics,10.1063/1.463943,CrossRef
A propensity-based framework for measurement uncertainty analysis,Hening Huang,2023,Measurement,10.1016/j.measurement.2023.112693,CrossRef
Measurement Uncertainty Applied to Cost-Effective Testing,,,,10.4271/air5925a,CrossRef
Methods of measurement of fluid flow: estimation of uncertainty of a flow-rate measurement,,,,10.3403/00128393,CrossRef
Why take part in a measurement comparison?,,2013,Measurement Uncertainty and Probability,10.1017/cbo9781139135085.015,CrossRef
Measurement of QCD Jet Broadening in $p\bar{p}$ Collisions at $\sqrt{s}$ = 1.8-TeV,Brenna Lynn Flaugher,1989,,10.2172/1375741,CrossRef
Gamma-Aminobutyric Acid Measurement,,2020,Definitions,10.32388/qwg3l2,CrossRef
Propagation of Uncertainty An Uncertainty Budget Example,"Colin Ratcliffe, Bridget Ratcliffe",2015,Doubt-Free Uncertainty In Measurement,10.1007/978-3-319-12063-8_5,CrossRef
